,dropbox,facebook,google,microsoft,teamviewer,twitter,youtube,uncategorized,OOD
dropbox,27,0,0,1,0,1,0,1,0
facebook,0,12,1,0,0,2,2,5,6
google,0,0,927,0,0,5,14,46,19
microsoft,0,0,3,297,0,5,0,7,9
teamviewer,0,0,0,0,34,0,0,0,1
twitter,1,1,4,0,0,2007,12,53,11
youtube,0,0,10,0,0,3,208,5,1
uncategorized,0,4,21,4,0,31,13,290,17
OOD,36,2,78,62,0,110,15,186,568
