,dropbox,facebook,google,microsoft,teamviewer,twitter,youtube,uncategorized,OOD
dropbox,6,0,0,0,0,0,0,0,24
facebook,0,0,0,0,0,0,0,0,28
google,0,0,647,0,0,0,0,0,364
microsoft,0,0,0,228,0,0,0,0,93
teamviewer,0,0,0,0,14,0,0,0,21
twitter,0,0,0,1,0,1455,0,1,632
youtube,0,0,2,0,0,0,69,0,156
uncategorized,0,0,6,0,0,3,0,83,288
OOD,2,0,15,34,0,7,0,23,976
