,dropbox,facebook,google,microsoft,teamviewer,twitter,youtube,uncategorized,OOD
dropbox,8,0,0,0,0,0,0,0,22
facebook,0,0,0,0,0,0,0,0,28
google,0,0,589,0,0,1,1,0,420
microsoft,0,0,0,219,0,0,0,0,102
teamviewer,0,0,0,0,10,0,0,0,25
twitter,0,0,0,0,0,1507,0,0,582
youtube,0,0,1,0,0,0,61,0,165
uncategorized,0,0,5,0,0,2,0,35,338
OOD,1,0,23,84,0,17,0,46,886
